"","fold0","fold1","fold2"
"CHEMBL1614216",0.7092092,0.7126437,0.5136054
"CHEMBL2363644",0.7440476,0.5747126,0.6306818
"CHEMBL2363166",0.7388889,0.6853147,0.6410256
"CHEMBL2363446",0.6360294,0.6892857,0.5882353
"CHEMBL2363470",0.6111111,0.6612245,0.5208333
"CHEMBL1613814",0.8052174,0.8066876,0.7038462
"CHEMBL2363645",0.6915584,0.6510989,0.5392157
"CHEMBL1738021",0.55,0.622093,0.61875
"CHEMBL2363516",0.7527273,0.7742947,0.7272727
"CHEMBL1614147",0.6666667,0.4,0.5666667
"CHEMBL2363492",0.625,0.7719298,0.5661376
"CHEMBL2363696",0.6509804,0.6190476,0.6269841
"CHEMBL1614486",0.6127232,0.4710744,0.7206349
"CHEMBL2363847",0.7342657,0.7331378,0.6018519
"CHEMBL2363719",0.3464286,0.5327381,0.459596
"CHEMBL2363634",0.578125,0.6868421,0.6518519
"CHEMBL2363569",0.4842105,0.565097,0.5625
"CHEMBL2363294",0.5473684,0.6055556,0.5535714
"CHEMBL2363616",0.7411765,0.6657754,0.6260504
"CHEMBL2363601",0.5323529,0.6068182,0.4955357
"CHEMBL2363514",0.6933333,0.6111111,0.6923077
"CHEMBL2363748",0.7111111,0.6502058,0.4653846
"CHEMBL2363747",0.4285714,0.5994318,0.6461538
"CHEMBL2363457",0.7460317,0.6428571,0.7410714
"CHEMBL1613949",0.812963,0.6031746,0.6473354
"CHEMBL2363767",0.6842105,0.670068,0.7692308
"CHEMBL2363793",0.7346154,0.7517483,0.6705882
"CHEMBL2363692",0.4555556,0.4588235,0.5803571
"CHEMBL2363639",0.6875,0.7647059,0.5625
"CHEMBL2363421",0.5437788,0.4153846,0.5434783
"CHEMBL2363313",0.725,0.6041667,0.6623377
"CHEMBL2363798",0.7727273,0.6214286,0.6606335
"CHEMBL2363272",0.6958333,0.6315789,0.6285714
"CHEMBL2363447",0.7252747,0.7335165,0.5844156
"CHEMBL2363749",0.4705882,0.5913313,0.609375
"CHEMBL1738438",0.6636364,0.6046512,0.127907
"CHEMBL2114847",0.7103659,0.6933333,0.2352941
"CHEMBL2363388",0.6315789,0.6363636,0.5113122
"CHEMBL1614035",0.8051948,0.8571429,0.8560606
"CHEMBL2363830",0.6973684,0.5922619,0.6272727
"CHEMBL2363255",0.773913,0.6530612,0.6666667
"CHEMBL2363562",0.5197368,0.6873065,0.6791667
"CHEMBL2363335",0.6959707,0.6875,0.6064815
"CHEMBL2363338",0.5151515,0.5808081,0.5904762
"CHEMBL1614395",0.4285714,0.3909091,0.5802198
"CHEMBL2363334",0.5338164,0.622807,0.6284722
"CHEMBL1614007",0.6324324,0.5490196,0.6727273
"CHEMBL1614049",0.5596206,0.5909631,0.6532567
"CHEMBL1034535",0.9494949,0.9125,0.5942029
"CHEMBL1613853",0.5185547,0.4223602,0.5147059
"CHEMBL1614138",0.7083333,0.6375,0.7642857
"CHEMBL2363814",0.7556391,0.7312253,0.57
"CHEMBL2363245",0.7454545,0.7975709,0.5571429
"CHEMBL2363349",0.4464286,0.5750916,0.4861111
"CHEMBL2363794",0.7784091,0.6213018,0.7035714
"CHEMBL856174",0.3513514,0.3095238,0.4
"CHEMBL1964005",0.574359,0.5833333,0.7413793
"CHEMBL1963983",0.72,0.6743827,0.827451
"CHEMBL2363215",0.5986395,0.5524476,0.5520362
"CHEMBL1613890",0.5333333,0.497076,0.6240409
"CHEMBL1614363",0.7411765,0.8277778,0.6325188
"CHEMBL1022010",0.7102273,0.7903226,0.9393939
"CHEMBL1613962",0.7792208,0.619877,0.325
"CHEMBL1614244",0.6388889,0.5818713,0.6691667
"CHEMBL2363764",0.8709677,0.6144201,0.7840909
"CHEMBL1614405",0.7428571,0.4722222,0.5454545
"CHEMBL1613926",0.6594203,0.5746667,0.625
