"","fold0","fold1","fold2"
"CHEMBL2363290",0.8034188034,0.6090909091,0.5614035088
"CHEMBL2363459",0.7951388889,0.6875,0.762345679
"CHEMBL2363611",0.7214285714,0.4910714286,0.6488095238
"CHEMBL2363743",0.53125,0.5267857143,0.6354166667
"CHEMBL1613821",0.5692307692,0.5111111111,0.4780701754
"CHEMBL2363341",0.6923076923,0.7053291536,0.6409090909
"CHEMBL1614465",0.4523809524,0.5056818182,0.4659090909
"CHEMBL1614083",0.8043478261,0.3555555556,0.6785714286
"CHEMBL2363366",0.625,0.4583333333,0.5142857143
"CHEMBL2363766",0.6726190476,0.5391304348,0.5670995671
"CHEMBL2363464",0.847826087,0.5938461538,0.6889952153
"CHEMBL1963899",0.8071428571,0.5601173021,0.5
"CHEMBL3214801",0.6396103896,0.5753968254,0.4224137931
"CHEMBL1614512",0.6948051948,0.5861244019,0.641025641
"CHEMBL648337",0.8444444444,0.8730769231,0.9196428571
"CHEMBL2363213",0.6875,0.3916083916,0.6533333333
"CHEMBL2363556",0.6923076923,0.4963235294,0.6029411765
"CHEMBL2363142",0.6107142857,0.4055944056,0.5539215686
"CHEMBL2363788",0.7176470588,0.630952381,0.66796875
"CHEMBL2363560",0.7368421053,0.5588235294,0.5931372549
"CHEMBL2155446",1,1,0.9858156028
"CHEMBL2363790",0.7109375,0.73,0.6842105263
"CHEMBL2363481",0.76,0.451048951,0.5842105263
"CHEMBL2114715",0.6742424242,0.4590909091,0.5144032922
"CHEMBL2363433",0.646875,0.5952380952,0.7155555556
"CHEMBL2363609",0.8284313725,0.591503268,0.6394230769
"CHEMBL3214965",0.5580808081,0.5185185185,0.6041335453
"CHEMBL1169087",0.9569892473,0.4895833333,0.876984127
"CHEMBL3214907",0.6053511706,0.4342105263,0.5808823529
"CHEMBL687330",0.9330357143,0.8333333333,1
"CHEMBL1614008",0.7784946237,0.6357894737,0.5816326531
"CHEMBL2363324",0.6227272727,0.6086956522,0.6130434783
"CHEMBL2363185",0.5992647059,0.5070028011,0.7478991597
"CHEMBL2363220",0.7151515152,0.4794117647,0.7132352941
"CHEMBL2363555",0.7233201581,0.6677018634,0.581027668
"CHEMBL2363437",0.625,0.5816326531,0.6130952381
"CHEMBL2363243",0.7861842105,0.545751634,0.6696832579
"CHEMBL2363612",0.5590909091,0.4833333333,0.6417112299
"CHEMBL2363140",0.69,0.619047619,0.6184210526
"CHEMBL3215216",0.6489795918,0.8953488372,0.6794117647
"CHEMBL2363239",0.6507936508,0.5272727273,0.78125
"CHEMBL2363434",0.6285714286,0.5769230769,0.6402116402
"CHEMBL2114717",0.4623655914,0.5297619048,0.6505747126
"CHEMBL2363688",0.5123152709,0.6354166667,0.6025641026
"CHEMBL2363152",0.6708333333,0.4388888889,0.7705882353
"CHEMBL1738040",0.6536796537,0.4363636364,0.478424015
"CHEMBL2363141",0.6696428571,0.6559139785,0.619047619
"CHEMBL2363803",0.6416666667,0.5555555556,0.7296296296
"CHEMBL2363623",0.6045454545,0.701183432,0.5425101215
"CHEMBL2363211",0.5673076923,0.503968254,0.7222222222
"CHEMBL2363594",0.5075757576,0.623015873,0.6078431373
"CHEMBL2363236",0.7345679012,0.7814814815,0.5930735931
"CHEMBL2363549",0.7102272727,0.5252525253,0.6583333333
"CHEMBL2363387",0.5656565657,0.6578249337,0.5845410628
"CHEMBL2363180",0.6923076923,0.6691176471,0.7739130435
"CHEMBL2363577",0.5877192982,0.5827067669,0.4857142857
"CHEMBL2363252",0.4944444444,0.591503268,0.6848739496
"CHEMBL2363630",0.5592592593,0.6631578947,0.6761904762
"CHEMBL2363216",0.7335640138,0.6260387812,0.6565656566
"CHEMBL2363535",0.5406698565,0.5913312693,0.55078125
"CHEMBL2363368",0.5198412698,0.5328947368,0.6790123457
"CHEMBL2363618",0.7,0.4887218045,0.6428571429
"CHEMBL2363774",0.6551724138,0.3452380952,0.5603864734
