"","fold0","fold1","fold2"
"CHEMBL856174",0.7837837838,0.0476190476,0.5
"CHEMBL1964005",0.5743589744,0.6842105263,0.75
"CHEMBL1963983",0.6125,0.4814814815,0.7588235294
"CHEMBL2363215",0.5884353741,0.6888111888,0.6244343891
"CHEMBL1613890",0.45,0.5380116959,0.6010230179
"CHEMBL1614363",0.5823529412,0.8574074074,0.6080827068
"CHEMBL1022010",0.6477272727,0.7096774194,0.7878787879
"CHEMBL1613962",0.6363636364,0.6448087432,0.175
"CHEMBL1614244",0.5364583333,0.4766081871,0.5516666667
"CHEMBL2363764",0.8801843318,0.6865203762,0.6590909091
"CHEMBL1614405",0.6857142857,0.5694444444,0.5104895105
"CHEMBL1613926",0.7173913043,0.5406666667,0.6666666667
"CHEMBL1614492",0.6038011696,0.5716666667,0.6333333333
"CHEMBL2363716",0.6806722689,0.7118055556,0.6392156863
"CHEMBL1243972",0.635021097,0.6956521739,0.71875
"CHEMBL1614053",0.6957671958,0.5714285714,0.6166666667
"CHEMBL829401",0.6184210526,0.9545454545,0.6981981982
"CHEMBL2363167",0.7341269841,0.7487684729,0.6963562753
"CHEMBL2363592",0.5105820106,0.7016806723,0.6865079365
"CHEMBL2363599",0.5683229814,0.6972704715,0.6931818182
"CHEMBL1613942",0.5743034056,0.6961805556,0.7323529412
"CHEMBL1614463",0.5426136364,0.6475095785,0.3958333333
"CHEMBL1614132",0.587012987,0.6739130435,0.681547619
"CHEMBL2363633",0.6571428571,0.7272727273,0.625
"CHEMBL1963934",0.3663793103,0.6666666667,0.7419354839
"CHEMBL2363557",0.7466666667,0.8173076923,0.7279411765
"CHEMBL1614283",0.7142857143,0.7514792899,0.6176470588
"CHEMBL1614548",0.7777777778,0.7708333333,0.9431818182
"CHEMBL2363458",0.6260869565,0.6545454545,0.6877470356
"CHEMBL2354217",0.6464811784,0.675,0.5652173913
"CHEMBL1738633",0.170212766,0.1222222222,0.6
"CHEMBL1613950",0.5732323232,0.5802675585,0.6395833333
"CHEMBL2114928",0.6578947368,0.5960784314,0.5040431267
"CHEMBL2363385",0.6973684211,0.7083333333,0.5714285714
"CHEMBL1614066",0.3142857143,0.921875,0.68
"CHEMBL1614109",0.7545454545,0.7179487179,0.5866666667
"CHEMBL1737868",0.8527131783,0.8643162393,0.75
"CHEMBL1614477",0.7039473684,0.4823717949,0.6688888889
"CHEMBL1794460",0.5525793651,0.6239316239,0.644989339
"CHEMBL1614197",0.3108108108,0.48,0.5
"CHEMBL2354228",0.7999051683,0.6240740741,0.9078947368
"CHEMBL1737978",0.5925925926,0.5996860283,0.6053215078
"CHEMBL2363383",0.5688888889,0.816091954,0.8181818182
"CHEMBL2363656",0.6013986014,0.75,0.5923913043
"CHEMBL1614225",0.6855036855,0.7526041667,0.6263157895
"CHEMBL1738400",0.9047619048,0.9825581395,0.8390151515
"CHEMBL1738679",0.4046052632,0.4403508772,0.425
"CHEMBL1738043",0.6610644258,0.8505942275,0.8193548387
"CHEMBL1738202",0.9782608696,1,1
"CHEMBL1614550",0.4964285714,0.679245283,0.5106382979
"CHEMBL2363390",0.6120401338,0.7277777778,0.6203703704
"CHEMBL1737977",0.8238095238,0.7333333333,0.8315789474
"CHEMBL2114823",0.6177777778,0.6565217391,0.3945578231
"CHEMBL1243978",0.5458089669,0.7777777778,0.6515151515
"CHEMBL2363839",0.6722222222,0.805,0.5669642857
"CHEMBL1243969",0.5822916667,0.8,0.775
"CHEMBL3215034",0.7432950192,0.7104377104,0.676
"CHEMBL914418",0.9888888889,0.8408163265,0.9047619048
"CHEMBL1738197",0.4022988506,0.6411149826,0.8
"CHEMBL698689",0.7433333333,0.7307692308,0.6923076923
"CHEMBL2363707",0.5494505495,0.7764705882,0.6717948718
"CHEMBL2363795",0.6,0.7660818713,0.6507936508
"CHEMBL3215176",0.7727272727,0.662037037,0.8423913043
"CHEMBL1614329",0.5949579832,0.7313218391,0.7121212121
"CHEMBL1676103",0.9513888889,0.9100529101,0.8896551724
"CHEMBL3214997",0.6442307692,0.6141509434,0.6068376068
"CHEMBL2363695",0.6725146199,0.7647058824,0.8481481481
"CHEMBL1794393",0.9074074074,0.7871794872,0.733997155
"CHEMBL1243975",0.6836659276,0.875,1
"CHEMBL830839",1,1,1
"CHEMBL2363315",0.6753246753,0.8104395604,0.7412280702
"CHEMBL1614117",0.5460526316,0.4479166667,0.6111111111
"CHEMBL1737951",0.8875,0.6430260047,0.87421875
"CHEMBL1614065",0.5793103448,0.7066666667,0.5333333333
"CHEMBL1614393",0.665625,0.5520833333,0.7118055556
"CHEMBL1613907",0.7818181818,0.5096153846,0.6470588235
"CHEMBL1964010",0.5082956259,0.48,0.4940828402
